"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","happynumbers.com/35.202.229.92","443","INFO","HTTP","",""
"pre_128cipher","happynumbers.com/35.202.229.92","443","INFO","No 128 cipher limit bug","",""
"heartbleed","happynumbers.com/35.202.229.92","443","OK","not vulnerable , timed out","CVE-2014-0160","CWE-119"
"CCS","happynumbers.com/35.202.229.92","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","happynumbers.com/35.202.229.92","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","happynumbers.com/35.202.229.92","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","happynumbers.com/35.202.229.92","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"secure_client_renego","happynumbers.com/35.202.229.92","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"CRIME_TLS","happynumbers.com/35.202.229.92","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","happynumbers.com/35.202.229.92","443","HIGH","potentially VULNERABLE, uses gzip HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","happynumbers.com/35.202.229.92","443","OK","not vulnerable","CVE-2014-3566","CWE-310"
"fallback_SCSV","happynumbers.com/35.202.229.92","443","OK","supported","",""
"SWEET32","happynumbers.com/35.202.229.92","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","happynumbers.com/35.202.229.92","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","happynumbers.com/35.202.229.92","443","OK","not vulnerable to DROWN on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN","happynumbers.com/35.202.229.92","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=3F6F2C151DFD71893C448A8D1FF91884DBB3DF83DA7B1C533E38B1ACFE75BF91","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","happynumbers.com/35.202.229.92","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","happynumbers.com/35.202.229.92","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST_CBC_TLS1","happynumbers.com/35.202.229.92","443","MEDIUM","ECDHE-RSA-AES256-SHA AES256-SHA CAMELLIA256-SHA ECDHE-RSA-AES128-SHA AES128-SHA CAMELLIA128-SHA","CVE-2011-3389","CWE-20"
"BEAST","happynumbers.com/35.202.229.92","443","LOW","VULNERABLE -- but also supports higher protocols  TLSv1.1 TLSv1.2 (likely mitigated)","CVE-2011-3389","CWE-20"
"LUCKY13","happynumbers.com/35.202.229.92","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"RC4","happynumbers.com/35.202.229.92","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"service","happynumbers.com/35.224.253.178","443","INFO","HTTP","",""
"pre_128cipher","happynumbers.com/35.224.253.178","443","INFO","No 128 cipher limit bug","",""
"heartbleed","happynumbers.com/35.224.253.178","443","OK","not vulnerable , timed out","CVE-2014-0160","CWE-119"
"CCS","happynumbers.com/35.224.253.178","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","happynumbers.com/35.224.253.178","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
